"Animal","symptoms1","symptoms2","symptoms3","symptoms4","symptoms5","Dangerous","Gender","Age"
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",28
"fowl","Blood in urine","Diarrhea","Vomiting","Lethargy","Bleeding in eye and skin","Yes","Female",2
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",3
"sheep","Fever","Dullness","Relunctance to walk","Infected navels","Pains","Yes","Female",4
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",27
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",20
"donkey","Bad breath","Pawing at the face or nose","cough ","Sneezing","Bleeding from the nose","Yes","Female",22
"fowl","Indigestion","Abdminal pain","Constipation","Diarrhea","Nausea","Yes","Female",1
"buffaloes","Fever","Loss of  appetite","Lession on the skin","Lethargy","Joint Pain","Yes","Male",4
"sheep","Foul Smelling","Dullness","Dirty","Stained Wool","Tail shaking","Yes","Male",11
"fowl","Poor growth","Short stature","Enlargement of bones","Lameness","Weigth bearing long bones","Yes","Male",4
"fowl","Fever","Malaise","Weakness","Weight loss","Pain","Yes","Male",3
"pigs","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",11
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",2
"duck","Nasal Bleeding","Diffulty chewing","Swelling ","Weight loss","Anorexia","Yes","Female",2
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",19
"sheep","Excess salivation","Diarrhea","Depression","Nasal discharge","Weakness","Yes","Female",8
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",9
"buffaloes","Legness","Paresis","Coughing","Weight loss","Shortness of breath","Yes","Male",16
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",4
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",21
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",7
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",13
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",29
"sheep","Fever","Difficulty in breathing","Coughing","Sneezing","Seizures","Yes","Female",8
"donkey","difficulty swallowing","cough ","difficulty swallowing","gasping for air","extending its neck","Yes","Female",29
"buffaloes","Watery Eyes","Eye closed","Weight loss","Sneezing","Nervous Issue","Yes","Male",7
"chicken","Apathy","Depression","Dilation of duodenum","Cloacal pasting","Congestion","Yes","Male",5
"sheep","Fever","Loss of appetite","Stumbling","Restlessness","Pains","Yes","Female",4
"duck","Strong cough","Runny nose","Sneezing","Lethargy","Loss of appettite","Yes","Female",1
"pigs","Formation of vesicles","Nostrils","Abnormally long leg","Scabs on lip","Pains","Yes","Male",6
"fowl","Fever","Chills","Sweat","Head ache","Fatique","Yes","Female",1
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",7
"buffaloes","Fever","Inflammed eye","Sneezing","Depression","Limping","Yes","Female",25
"donkey","Continuous loss of weight","Regurgitation of food","wheezing","Excessive food intake","Undigested seeds","Yes","Female",7
"horse","Ring shaped Lesion","Round patches","Dry skin","Size of lesions vary","Pain","Yes","Male",18
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",26
"duck","Hair loss","Dandruff","Darkened skin","Crusting of the skin","Ulcerated skin","Yes","Male",7
"donkey","unable to urinate","Lightheadedness ","droopiness","rectal bleeding","swollen abdomen","Yes","Male",11
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",8
"cattle","sudden death","high temperature","difficulty breating","Aneamia","trembling","Yes","Female",24
"sheep","Fever","Wasting","Dehydration","Deability","Weakness","Yes","Male",1
"pigs","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Female",1
"pigs","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",10
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",1
"buffaloes","Dejection","Loss of Appetite","Stress","Coughing","Pains","Yes","Female",21
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",17
"buffaloes","Fever","Respiratory distress","Weekness in the back legs","Hyperesthesia","Sudden death","Yes","Female",20
"buffaloes","Cessation of eructation","Difficulty in breathing","Depression","Anorexia","Colic","Yes","Male",2
"buffaloes","Spines","Unusally thin","Weakness","Enlarged skulls","Weakness","Yes","Female",3
"buffaloes","Berberi","Wasting","Nervous","Weight loss","Anorexia","Yes","Male",1
"sheep","Fever","Ulcer","Scabs","Discharge from eye","Pains","Yes","Female",1
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",9
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",3
"fowl","Upset stomach","Loss of appetite","Nause","Weight loss","Abdonormal pain","Yes","Female",9
"pigs","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Female",1
"donkey","weight loss","dull ness","inappetence","self-isolation","recumbency","Yes","Female",30
"fowl","Weakness","Stiffness","Trembling","White mark on the muscle","Loss of vitamin E","Yes","Male",7
"donkey","Extreme thirst","bloody discharge","Loss of appetite","inability to fly","loss of wariness","Yes","Female",2
"buffaloes","Fever","Pneumonia ","Congestion","Lethargy","Nasal Discharge","Yes","Female",25
"sheep","Fever","Wasting","Dehydration","Deability","Weakness","Yes","Male",3
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",6
"sheep","Limping","Skin colour change","Flabby","Raw","Sensitive to touch","Yes","Female",6
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",6
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",14
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"pigs","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Female",10
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",6
"fowl","Sores on lip","Infection","Sores on lower leg and teats","Lesion","Pain","Yes","Male",5
"donkey","weight loss","dull ness","inappetence","self-isolation","recumbency","Yes","Female",33
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",1
"fowl","Fever","Respiratory distress","Mucous discharge","Reduce feed","Weight gain","Yes","Male",9
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",2
"buffaloes","Ulcers","Diarrhea","Back Pain","Tarry Stool","Enlarged lymph nodes","Yes","Male",19
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",3
"buffaloes","Fever","Severe headache","Vomiting","Coughing","Fatique","Yes","Male",11
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",2
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",10
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",29
"duck","Bleeding from other parts of the body","confusion","Nasal discharge","loss of alertness"," dizziness and fainting","Yes","Female",6
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",9
"sheep","Fever","Difficulty in breathing","Lethargy","Death","Pains","Yes","Male",10
"rabbit","Discomfort","Diarrhea","Dry or dull hair","Grinding teeth","Pain","Yes","Female",3
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",6
"duck","Sickness","Loss of  appetite","Vomiting","Weight loss","Raised growth or bump","Yes","Female",6
"sheep","Fever","Diarrhea","Muscle twiching","Lameness","Weight loss","Yes","Female",3
"buffaloes","Fever","Diarrhea","Nasal Discharge","Lethargy","Blue Eye","Yes","Male",16
"pigs","Formation of vesicles","Nostrils","Abnormally long leg","Scabs on lip","Pains","Yes","Male",7
"buffaloes","Fever","Respiratory distress","Weekness in the back legs","Hyperesthesia","Sudden death","Yes","Female",2
"sheep","Head Shking","Discharge from ear","Scartching ear","Odor to Ear","Redness on ear","Yes","Female",10
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",24
"rabbit","Loss of appetite","Swelling","Nasal Discharge","Blindness","Lethargy","Yes","Female",2
"buffaloes","Berberi","Wasting","Nervous","Weight loss","Anorexia","Yes","Male",2
"pigs","Inability to digest","Diarrhea","Dehydration","Weight loss","Anemia","Yes","Female",1
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",2
"cattle","Normal appetite","Diarrhea","Swelling may occur under jaw","Weight loss","Drop in milk production","Yes","Female",22
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",13
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",20
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",2
"duck","loss of appetite","high body temperaure","lack of appetite","diarrhea","sudden death","Yes","Male",4
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",2
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",9
"sheep","Fever","Ulcer","Scabs","Discharge from eye","Pains","Yes","Female",2
"buffaloes","Undigested in their feces","Loss of Appetite","Loss of pigment","Weakness","Bloody in feather","Yes","Male",2
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",29
"donkey","Shortness of breath.","Fatigue","chirping","loss of appetite","swollen abdomen","Yes","Male",2
"buffaloes","Fluffed Feather","Loss of appetite","Coughing","Vomiting","Snoring","Yes","Male",9
"sheep","Tear production","Anversion to light","Bluish white opacity","Blindness","Pains","Yes","Male",3
"buffaloes","Head tilt","Circling","Muscles ache","Blindness","Seizures","Yes","Female",1
"pigs","Poor immune function","Achomotrica","Dehydration","Death","Pains","Yes","Male",7
"sheep","Tenderness","Foot Hot","Facial Paralysis","Weight loss","Pains","Yes","Male",7
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",2
"fowl","Abortion ","Mummification","Stillbirth","Weak kids","Pain","Yes","Female",7
"duck","Fever","Diarrhea","Abdominal pain","Stiffness","Severe weekness and depression","Yes","Male",9
"fowl","Ring shaped Lesion","Round patches","Dry skin","Size of lesions vary","Pain","Yes","Female",5
"buffaloes","Balance problem","Abdominal destention","Neck Paralysis","Weight loss","Pains","Yes","Male",13
"sheep","Thivk skin","Crusty","Scaly skin","Lesion","Pains","Yes","Female",5
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Dehydration","Yes","Female",5
"sheep","Radip onset","Stiff","Muscle Trembling","Weakness","Death","Yes","Male",8
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",13
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",2
"sheep","Dizzines","Anemia","Vomiting","Head ache","Nausea","Yes","Female",7
"cow","Fever","weakened legs","los of the ability to walk","Mammary glads","Fluif filled blisters","Yes","Female",7
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",1
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",24
"chicken","Fever","Sour Throat","Mortality","Muscle aches","Abnormalities","Yes","Male",5
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",27
"pigs","Restlessness","Kick","Lethargy","Nible at their wool","Scratching","Yes","Female",12
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",5
"horse","head tilt","lathargy","lathargy","urine dribbling","inability to rise","Yes","Female",29
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",12
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",5
"donkey","cough","sneeze","droopy wings","twisted neck","droopy wings","Yes","Female",32
"sheep","Fever","Swelling","loss of appetite","Anorexia","Weight Loss","Yes","Female",6
"buffaloes","Hair loss","Dandruff","Vomiting","Crusting of the skin","Ulcerated skin","Yes","Male",9
"sheep","haemorrhage","Straw colored","Abdominal pain","Death","Carcass decomposes","Yes","Male",9
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",9
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",8
"duck","Strong cough","Runny nose","Sneezing","Lethargy","Loss of appettite","Yes","Female",3
"pigs","Fever","Difficulty in breathing","Rub","Coughing","Sneezing","Yes","Male",13
"chicken","Edema","diarrhea","Nasal Discharge","Decresed egg production","Sneezing","Yes","Male",3
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",5
"buffaloes","Fever","Swelling of face or leg","Coughing","Depression","Pains","Yes","Female",9
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",19
"sheep","Fever","Depression","loss of appetite","Loss of appetite","Pains","Yes","Female",10
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",10
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",25
"buffaloes","Diarrhea with muscus","Tensemus","Nose Bleeds","Flatulence","Pains","Yes","Female",24
"fowl","Fever","Diarrhea","Vomiting","Dehydration","Pain","Yes","Female",2
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",17
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",4
"pigs","Excessive blood loss","dizziness and fainting","Blurry vision","watery eyes","slow growth","Yes","Male",5
"duck","Fever","Loss of  appetite","Coughing","Lethargy","Joint Pain","Yes","Female",11
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",1
"chicken","Balance problem","Abdominal destention","Neck Paralysis","Weight loss","Pains","Yes","Male",2
"sheep","Pyrexia","Oral lesion","Swelling","Lameness","Death","Yes","Male",4
"sheep","Head tilt","Circling","Muscles ache","Blindness","Seizures","Yes","Male",1
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",8
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",1
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",2
"buffaloes","Drooping ears","Lack of coordination","Drooling","Wasting","Listlessness","Yes","Female",22
"duck","Shaking head","Scartching ear","Black on ear","Bad smell","Red and inflammation ear","Yes","Female",3
"duck","Jaundice","Difficulty in breathing","Seizuers","Lethargy","Pale gums","Yes","Female",11
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",10
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",1
"rabbit","Fever","Diarrhea","Enteritis","Weight loss","Stomach  cramps","Yes","Male",2
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",17
"chicken","Lack of walking","Lack of flying","Roughened","Dehydration","Pains","Yes","Male",5
"donkey","Fetopelvic dispropotion","Uteria inertia","Malpresentation","Death","Pains","Yes","Female",17
"buffaloes","Mortality","Painfull","Coughing","Weight loss","Nasal Discharge","Yes","Male",13
"chicken","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Female",7
"hamster","Fever","Difficulty in breathing","Coughing","Painfull","Eye become dull","Yes","Female",1
"donkey","Gasping","coughing ","mild weakness","droopy wings","twisted neck","Yes","Female",4
"buffaloes","Fever","Loss of  appetite","Lession on the skin","Lethargy","Joint Pain","Yes","Male",26
"sheep","Swollen Belly","Dullness","Discharge","Urination","Lying down","Yes","Male",7
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",28
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",6
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"horse","Fever","Body stiffness","Lethargy","Severe inflammation","Pain","Yes","Female",22
"duck","Attacks","Loss of  appetite","Coughing","Weight loss","Periodic vommiting","Yes","Male",4
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",7
"goat","Decreased milk","Holding limbs off the ground","Weight loss","Lameness","Wool production","Yes","Female",12
"sheep","Groosly enlarged","Skin may thicken","Convulsion","Edematous","Pains","Yes","Female",11
"sheep","Tear production","Anversion to light","Bluish white opacity","Blindness","Pains","Yes","Male",5
"sheep","Fever","Diarrhea","Bloody droping","Abdominal discomfort","Lethargy","Yes","Female",7
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",1
"sheep","Inflammation ","Discomfort","Kicking at the belly","Urine infection","Pains","Yes","Female",8
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Nasal Discharge","Yes","Male",4
"chicken","Stripped remiges","Less Feather growth","Ruffled feathers","Defienciency in vitamin","Diarrhea","Yes","Male",7
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",10
"donkey","Bleeding from other parts of the body","confusion","Nasal discharge","loss of alertness"," dizziness and fainting","Yes","Male",1
"horse","Fever","Abortion","Kidney failure","Inflammation of eye","Eye redness","Yes","Male",9
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",19
"sheep","Swollen","Testical Pain","Itches","Bloody discharge","Tenderness","Yes","Female",5
"chicken","Sharp Feather","Clubbed Feather","Eye disharge","Loss of powder down","Diarrhea","Yes","Male",9
"chicken","Scabs On feet","Redness ","Trachea","Thickening of skin","Pains","Yes","Male",9
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",19
"pigs","Tenderness","Foot Hot","Facial Paralysis","Weight loss","Pains","Yes","Male",6
"donkey","Nosebleed ","Trauma","mild weakness","Nose picking","Dry air","Yes","Male",15
"pigs","Fever","Diarrhea","Pot belly","Death","Loss of appettite","Yes","Male",12
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",2
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",3
"chicken","Tremor of head and neck","Blindness","Kicking at the belly","Exercise in tolerance","Pains","Yes","Female",4
"duck","Bloody Urine","Diffculty breathing","Vomiting","Weight loss","Anorexia","Yes","Female",4
"sheep","Skeleten abnormalities","Facial defects","Hair loss","Flat ribs","Underdeveloped muscles","Yes","Male",9
"buffaloes","Fever","Rhinorrhea","Coughing","Sneezing","Dehydration","Yes","Female",13
"buffaloes","Fever","Depression","Lying down","Weak Pulse","Colic","Yes","Female",23
"goat","Fever","Malaise","Weakness","Weight loss","Pain","Yes","Female",1
"donkey","Fetopelvic dispropotion","Uteria inertia","Malpresentation","Death","Pains","Yes","Female",17
"fowl","cough","sneeze","droopy wings","twisted neck","droopy wings","Yes","Male",5
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"duck","Ulcers","Diarrhea","Poor Appetite","Tarry Stool","Enlarged lymph nodes","Yes","Male",1
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",14
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",26
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",2
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",21
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",17
"buffaloes","Sneezing","Epistaxis","Coughing","Difficulty in breathing","Nasal Discharge","No","Female",11
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",1
"fowl","Fever","Hemolytic anemia","Hemoglobinuria","pulmonary congestion","Jaundice","Yes","Female",3
"sheep","Fever","Swelling","Bloody","Death","Anemia","Yes","Male",9
"cattle","sudden death","high temperature","difficulty breating","Aneamia","trembling","Yes","Female",14
"chicken","Dejection","Loss of Appetite","Stress","Coughing","Pains","Yes","Male",3
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",8
"buffaloes","Swelling on leg","Painfull","Poor Appetite","Broken Bones","Nasal Discharge","Yes","Male",13
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",19
"buffaloes","Fever","Dyspnea","Coughing","Lethargy","Weightloss","Yes","Male",3
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",10
"buffaloes","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",5
"sheep","Isolation from flock","Stealing ","Nesting behaviour","Pawing at bedding","Pains","Yes","Female",5
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",1
"pigs","lllthrift","Skin Lesion","Lameness","Swelling on theBody","Weight loss","Yes","Male",2
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"cattle","sudden death","high temperature","difficulty breating","Aneamia","trembling","Yes","Female",8
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",3
"sheep","Dizzines","Anemia","Vomiting","Head ache","Nausea","Yes","Female",1
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",25
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",26
"sheep","Jaundice","Loss of appetite","Rough Hair coat","Coughing","Death","Yes","Male",9
"cattle","Severe","Diarrhea","Blood on faces","Appetite","Milk reduce","Yes","Female",12
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"buffaloes","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",12
"fowl","Fever","Diarrhea","loss of appetite","Colic","Weakness","Yes","Male",5
"chicken","Inappentence","Diarrhea","Tremors of the head","Dehydration","Weight loss","Yes","Female",1
"duck","Fever","Difficulty breathing","Thrist and urination","Weight loss","Enlarged lymph nodes or Swelling","Yes","Female",9
"buffaloes","Fever","Hepatitis","Skin rashes","Weight loss","Pain","No","Male",28
"cattle","Fever","Dull","Hind quarted soil","Animal stop feed","Decrease in milk production","Yes","Male",14
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",13
"chicken","Liquid Dropping","Exhaustion","Ataxia","Lethargy","Seizures","Yes","Female",1
"sheep","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Male",8
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",3
"sheep","Fever","Dullness","Relunctance to walk","Infected navels","Pains","Yes","Female",10
"buffaloes","Severe swellimg","Heavy Breathing","Diarrhea","Weight loss","Pain","No","Male",10
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",1
"duck","Fever","Chronic eye inflamation","Poor Appetite","Lethargy","Neurologic abnormalities","Yes","Female",3
"duck","Fever","Diarrhea","Coughing","Tiredness","Pains","Yes","Female",8
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",1
"sheep","Reluctant Move","Loss of Appetite","Lameness","Death","Weakness","Yes","Female",8
"buffaloes","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",1
"sheep","Fever","Lameness","Wasting","Blindness","Staggering","Yes","Male",10
"fowl","Fever","Dark colored bloody","Incoordination","Difficulty in breathing","Terminal convulsion","Yes","Male",7
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",9
"sheep","Bluish white opacity","Aversion to light","Tear produce","Blindness","weakness","Yes","Female",3
"cattle","swelling","nasal discharge","drooling","tiredness","fever","Yes","Female",16
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"donkey","extending its neck","gasping for air","gasping for breath","difficulty swallowing","gasping for breath","Yes","Female",15
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",18
"chicken","Weakness","Diarrhea","High moratality","Dehydration","Anorexia","No","Male",7
"buffaloes","Fever","Wasting","Dehydration","Deability","Weakness","Yes","Female",5
"donkey","Extreme thirst","bloody discharge","Loss of appetite","inability to fly","loss of wariness","Yes","Female",31
"duck","Shaking head","Scartching ear","Black on ear","Bad smell","Red and inflammation ear","Yes","Female",1
"rabbit","Rhinitis","Pneumonia ","abscessess","Torticollis","Septicemia","Yes","Male",1
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",7
"sheep","Severe kerititis","Conjunctive","Discharge","Iris prolapse","Loss of eye","Yes","Female",2
"sheep","Isolation from flock","Stealing ","Nesting behaviour","Pawing at bedding","Pains","Yes","Female",8
"chicken","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Male",4
"chicken","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Male",4
"fowl","extending its neck","gasping for air","gasping for breath","difficulty swallowing","gasping for breath","Yes","Female",1
"chicken","loss of appetite","thirst","ruffled feathers","Closed eyes","Diarrhea","Yes","Female",3
"buffaloes","Dejection","Loss of appetite","Slow growth","Diarrhea","Lesion","No","Female",25
"duck","Fever","Loss of  appetite","Reduce Energy","Lameness","Swelling of joints","Yes","Female",9
"buffaloes","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Female",2
"fowl","Fever","Uncharacteristic hiding","Depression","Dehydration","Stopped eat","Yes","Female",3
"chicken","Neck paralysis","Diarrhea","ruffled feathers","Labored breathing","Weakness","No","Male",7
"sheep","Discharge ","Sudden Abortion","Hemoglobinuria","Death of lamb","Weight Loss","Yes","Female",4
"chicken","Emaciation","Difficulty in breathing","Vomiting","Weakness","Diarrhea","Yes","Male",6
"buffaloes","loss of appetite","Depression","Paralyzed leg","Weight loss","Anemia","No","Female",1
"duck","Excessive eye watering","Eye redness","weakness","Mucus discharge from the eye","Frequent eye Infections","Yes","Female",10
"buffaloes","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Female",19
"chicken","Drooping wings","Depression","Nasal Discharge","Coughing","Greenish diarrhea","No","Female",9
"pigs","Swelling","Loss of appetite","Wool loss","Tears","Death","Yes","Male",13
"chicken","Facial Swelling","Lacrimation","Diarrhea","Anorexia","Nasal Discharge","No","Male",3
"goat","SkinAllergy","Reduce growth","Wound","Head ache","Dizziness","Yes","Male",9
"hamster","Fever","Difficulty in breathing","Coughing","Painfull","Eye become dull","Yes","Female",1
"pigs","Swelling","Heat","Flank","Pain","Nasal Discharge","Yes","Female",6
"chicken","Weakness","Yellow or green dropping","Purplish combs","Wattles","Drop on egg production","No","Female",3
"hamster","Fever","Ulcer on gum","Red eye","Yellowish Discharge","Bloody Diarrhea","Yes","Female",2
"buffaloes","Fluffed Feather","Loss of appetite","Coughing","Vomiting","Snoring","Yes","Male",21
